gridcode,area_m2,area_ha
4,3202240688.0879617,320224.0688087962
3,1383696919.409892,138369.6919409892
5,1009589931.7400038,100958.99317400038
2,699464563.9172428,69946.45639172428
1,438072266.292498,43807.2266292498
